order_number,quantity,unit_price,line_number,sales,order_date,status,quarter,month,year,product_line,suggested_retail_price,product_code,customer_name,phone,address_line1,address_line2,city,state,postal_code,country,territory,contact_last_name,contact_first_name,deal_size,order_year,order_month,order_day,order_quarter,order_day_of_week,line_total,margin,margin_percentage
10275,45,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,Medium,2004,7,23,3,4,4177.35,-2.1700000000000017,-2.2842105263157912
10285,36,100.0,6,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,2004,8,27,3,4,3600.0,5.0,5.263157894736842
10299,23,100.0,9,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,Unknown,21240,Finland,EMEA,Karttunen,Matti,Small,2004,9,30,3,3,2300.0,5.0,5.263157894736842
10309,41,100.0,5,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2004,10,15,4,4,4100.0,5.0,5.263157894736842
10318,46,94.74,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium,2004,11,2,4,1,4358.04,-0.2600000000000051,-0.2736842105263212
10329,42,100.0,1,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2004,11,15,4,0,4200.0,5.0,5.263157894736842
10341,41,100.0,9,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,Unknown,5020,Austria,EMEA,Pipps,Georg,Large,2004,11,24,4,2,4100.0,5.0,5.263157894736842
10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2004,12,17,4,4,1451.0,-22.450000000000003,-23.63157894736842
10375,21,34.91,12,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,Small,2005,2,3,1,3,733.1099999999999,-60.09,-63.25263157894737
10388,42,76.36,4,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium,2005,3,3,1,3,3207.12,-18.64,-19.621052631578948
10403,24,100.0,7,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,Unknown,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,2005,4,8,2,4,2400.0,5.0,5.263157894736842
10417,66,100.0,2,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,Large,2005,5,13,2,4,6600.0,5.0,5.263157894736842
10103,26,100.0,11,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2003,1,29,1,2,2600.0,-114.0,-53.271028037383175
10112,29,100.0,1,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,,Lule,Unknown,S-958 22,Sweden,EMEA,Berglund,Christina,Large,2003,3,24,1,0,2900.0,-114.0,-53.271028037383175
10126,38,100.0,11,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,Unknown,28023,Spain,EMEA,Sommer,Mart¡n,Large,2003,5,28,2,2,3800.0,-114.0,-53.271028037383175
10140,37,100.0,11,7374.1,2003-07-24,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Large,2003,7,24,3,3,3700.0,-114.0,-53.271028037383175
10150,45,100.0,8,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Unknown,79903,Singapore,Japan,Natividad,Eric,Large,2003,9,19,3,4,4500.0,-114.0,-53.271028037383175
10163,21,100.0,1,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Medium,2003,10,20,4,0,2100.0,-114.0,-53.271028037383175
10174,34,100.0,4,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,2003,11,6,4,3,3400.0,-114.0,-53.271028037383175
10183,23,100.0,8,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Medium,2003,11,13,4,3,2300.0,-114.0,-53.271028037383175
10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,Unknown,69004,France,EMEA,Saveley,Mary,Large,2003,11,25,4,1,4200.0,-114.0,-53.271028037383175
10206,47,100.0,6,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large,2003,12,5,4,4,4700.0,-114.0,-53.271028037383175
10215,35,100.0,3,6075.3,2004-01-29,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,Medium,2004,1,29,1,3,3500.0,-114.0,-53.271028037383175
10228,29,100.0,2,6463.23,2004-03-10,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,Medium,2004,3,10,1,2,2900.0,-114.0,-53.271028037383175
10245,34,100.0,9,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium,2004,5,4,2,1,3400.0,-114.0,-53.271028037383175
10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,2004,6,15,2,1,3200.0,-114.0,-53.271028037383175
10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,2004,7,19,3,0,2100.0,-114.0,-53.271028037383175
10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,Unknown,10100,Italy,EMEA,Accorti,Paolo,Large,2004,8,17,3,1,3400.0,-114.0,-53.271028037383175
10291,37,100.0,11,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,Unknown,S-844 67,Sweden,EMEA,Larsson,Maria,Large,2004,9,8,3,2,3700.0,-114.0,-53.271028037383175
10304,47,100.0,6,10172.7,2004-10-11,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,Unknown,78000,France,EMEA,Tonini,Daniel,Large,2004,10,11,4,0,4700.0,-114.0,-53.271028037383175
10312,48,100.0,3,11623.7,2004-10-21,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large,2004,10,21,4,3,4800.0,-114.0,-53.271028037383175
10322,40,100.0,1,6000.4,2004-11-04,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Medium,2004,11,4,4,3,4000.0,-114.0,-53.271028037383175
10333,26,100.0,3,3003.0,2004-11-18,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium,2004,11,18,4,3,2600.0,-114.0,-53.271028037383175
10347,30,100.0,1,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,11,29,4,0,3000.0,-114.0,-53.271028037383175
10357,32,100.0,10,5691.84,2004-12-10,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,2004,12,10,4,4,3200.0,-114.0,-53.271028037383175
10369,41,100.0,2,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium,2005,1,20,1,3,4100.0,-114.0,-53.271028037383175
10381,36,100.0,3,8254.8,2005-02-17,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Large,2005,2,17,1,3,3600.0,-114.0,-53.271028037383175
10391,24,100.0,4,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2005,3,9,1,2,2400.0,-114.0,-53.271028037383175
10411,23,100.0,9,4140.23,2005-05-01,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium,2005,5,1,2,6,2300.0,-114.0,-53.271028037383175
10424,50,100.0,6,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,Large,2005,5,31,2,1,5000.0,-114.0,-53.271028037383175
10107,39,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2003,2,24,1,0,3896.49,-18.090000000000003,-15.330508474576273
10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2003,4,29,2,1,2793.86,-21.659999999999997,-18.355932203389827
10134,27,100.0,5,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,Unknown,75508,France,EMEA,Da Cunha,Daniel,Medium,2003,7,1,3,1,2700.0,-18.0,-15.254237288135593
10145,37,100.0,9,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,2003,8,25,3,0,3700.0,-18.0,-15.254237288135593
10159,37,100.0,17,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,2003,10,10,4,4,3700.0,-18.0,-15.254237288135593
10168,27,100.0,4,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,2003,10,28,4,1,2700.0,-18.0,-15.254237288135593
10180,42,100.0,12,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,Unknown,59000,France,EMEA,Rance,Martine,Medium,2003,11,11,4,1,4200.0,-18.0,-15.254237288135593
10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,Unknown,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,2003,11,18,4,1,3660.92,-21.659999999999997,-18.355932203389827
10201,24,100.0,5,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium,2003,12,1,4,0,2400.0,-18.0,-15.254237288135593
10210,23,100.0,2,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2004,1,12,1,0,2300.0,-18.0,-15.254237288135593
10223,47,100.0,4,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,2,20,1,4,4700.0,-18.0,-15.254237288135593
10236,22,100.0,1,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small,2004,4,3,2,5,2200.0,-18.0,-15.254237288135593
10251,44,100.0,5,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium,2004,5,18,2,1,4400.0,-18.0,-15.254237288135593
10263,40,100.0,5,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium,2004,6,28,2,0,4000.0,-18.0,-15.254237288135593
10275,22,100.0,4,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,Small,2004,7,23,3,4,2200.0,-18.0,-15.254237288135593
10285,47,100.0,9,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,2004,8,27,3,4,4700.0,-18.0,-15.254237288135593
10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,Unknown,44000,France,EMEA,Schmitt,Carine,Medium,2004,9,27,3,0,3757.26,-21.659999999999997,-18.355932203389827
10308,34,100.0,2,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium,2004,10,15,4,4,3400.0,-18.0,-15.254237288135593
10318,45,100.0,4,5566.5,2004-11-02,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium,2004,11,2,4,1,4500.0,-18.0,-15.254237288135593
10329,20,100.0,2,3176.0,2004-11-15,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2004,11,15,4,0,2000.0,-18.0,-15.254237288135593
10339,40,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2004,11,23,4,1,2756.8,-49.08,-41.59322033898305
10361,26,51.15,8,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2004,12,17,4,4,1329.8999999999999,-66.85,-56.652542372881356
10374,39,100.0,5,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2005,2,2,1,2,3900.0,-18.0,-15.254237288135593
10388,50,44.51,5,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small,2005,3,3,1,3,2225.5,-73.49000000000001,-62.27966101694916
10402,45,100.0,1,5833.8,2005-04-07,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,Unknown,75016,France,EMEA,Perrier,Dominique,Medium,2005,4,7,2,3,4500.0,-18.0,-15.254237288135593
10417,45,100.0,5,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,Medium,2005,5,13,2,4,4500.0,-18.0,-15.254237288135593
10107,27,100.0,4,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,2003,2,24,1,0,2700.0,-93.0,-48.18652849740933
10120,46,100.0,2,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,2003,4,29,2,1,4600.0,-93.0,-48.18652849740933
10134,31,100.0,4,7023.98,2003-07-01,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,Unknown,75508,France,EMEA,Da Cunha,Daniel,Large,2003,7,1,3,1,3100.0,-93.0,-48.18652849740933
10145,33,100.0,8,5176.38,2003-08-25,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,2003,8,25,3,0,3300.0,-93.0,-48.18652849740933
10159,22,100.0,16,4132.7,2003-10-10,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,2003,10,10,4,4,2200.0,-93.0,-48.18652849740933
10168,20,100.0,3,4183.0,2003-10-28,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,2003,10,28,4,1,2000.0,-93.0,-48.18652849740933
10180,41,100.0,11,8892.9,2003-11-11,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,Unknown,59000,France,EMEA,Rance,Martine,Large,2003,11,11,4,1,4100.0,-93.0,-48.18652849740933
10188,45,100.0,3,8714.7,2003-11-18,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,Unknown,N 5804,Norway,EMEA,Oeztan,Veysel,Large,2003,11,18,4,1,4500.0,-93.0,-48.18652849740933
10201,49,100.0,4,8065.89,2003-12-01,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Large,2003,12,1,4,0,4900.0,-93.0,-48.18652849740933
10210,34,100.0,1,6123.4,2004-01-12,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2004,1,12,1,0,3400.0,-93.0,-48.18652849740933
10223,49,100.0,3,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,2004,2,20,1,4,4900.0,-93.0,-48.18652849740933
10237,39,100.0,9,7023.9,2004-04-05,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large,2004,4,5,2,0,3900.0,-93.0,-48.18652849740933
10251,43,100.0,4,7078.23,2004-05-18,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large,2004,5,18,2,1,4300.0,-93.0,-48.18652849740933
10263,41,100.0,4,8336.94,2004-06-28,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Large,2004,6,28,2,0,4100.0,-93.0,-48.18652849740933
